"Place","Geo","Total Population, 1960","Total Population, 1970","Total Population, 1980","Total Population, 1990","Total Population, 2000"
"Presque Isle city, Aroostook County, Maine","Town","12,886","11,452","11,172","10,550","9,511"
"Reed plantation,Aroostook County, Maine","Town","325","273","274","296","207"
"St. Agatha town, Aroostook County, Maine","Town","1,137","868","1,035","919","802"
"St. Francis town, Aroostook County, Maine","Town","1,058","811","839","683","577"
"St. John plantation,Aroostook County, Maine","Town","407","377","322","274","282"
"Sherman town, Aroostook County, Maine","Town","1,034","949","1,021","1,027","937"
"Smyrna town, Aroostook County, Maine","Town","331","318","354","378","415"
"South Aroostook UT,Aroostook County, Maine","Town","0","243","261","404","486"
"Square Lake UT,Aroostook County, Maine","Town","0","0","604","564","615"
"Stockholm town, Aroostook County, Maine","Town","649","388","319","286","271"
"Van Buren town, Aroostook County, Maine","Town","4,679","3,971","3,557","3,045","2,631"
"Wade town, Aroostook County, Maine","Town","220","255","285","243","250"
"Wallagrass town, Aroostook County, Maine","Town","818","617","653","582","561"
"Washburn town, Aroostook County, Maine","Town","2,083","1,914","2,028","1,880","1,627"
"Westfield town, Aroostook County, Maine","Town","569","517","647","589","559"
"Westmanland town, Aroostook County, Maine","Town","46","52","53","72","71"
"Weston town, Aroostook County, Maine","Town","202","162","155","207","203"
"Winterville plantation,Aroostook County, Maine","Town","215","164","235","217","196"
"Woodland town, Aroostook County, Maine","Town","1,372","1,218","1,369","1,402","1,403"
"Baldwin town, Cumberland County, Maine","Town","773","878","1,140","1,219","1,290"
"Bridgton town, Cumberland County, Maine","Town","2,707","2,967","3,528","4,307","4,883"
"Brunswick town, Cumberland County, Maine","Town","15,797","16,195","17,366","20,906","21,172"
"Cape Elizabeth town, Cumberland County, Maine","Town","5,505","7,873","7,838","8,854","9,068"
"Casco town, Cumberland County, Maine","Town","947","1,256","2,243","3,018","3,469"
"Cumberland town, Cumberland County, Maine","Town","2,765","4,096","5,284","5,836","7,159"
"Falmouth town, Cumberland County, Maine","Town","5,976","6,291","6,853","7,610","10,310"
"Freeport town, Cumberland County, Maine","Town","4,055","4,781","5,863","6,905","7,800"
"Frye Island town, Cumberland County, Maine","Town","0","0","0","0","0"
"Gorham town, Cumberland County, Maine","Town","5,767","7,839","10,101","11,856","14,141"
"Gray town, Cumberland County, Maine","Town","2,184","2,939","4,344","5,904","6,820"
"Harpswell town, Cumberland County, Maine","Town","2,032","2,552","3,796","5,012","5,239"
"Harrison town, Cumberland County, Maine","Town","1,014","1,045","1,667","1,951","2,315"
"Long Island town, Cumberland County, Maine","Town","0","0","0","0","202"
"Naples town, Cumberland County, Maine","Town","735","956","1,833","2,860","3,274"
"New Gloucester town, Cumberland County, Maine","Town","3,047","2,811","3,180","3,916","4,803"
"North Yarmouth town, Cumberland County, Maine","Town","1,140","1,383","1,919","2,429","3,210"
"Portland city, Cumberland County, Maine","Town","72,566","65,116","61,572","64,358","64,249"
"Pownal town, Cumberland County, Maine","Town","778","800","1,189","1,262","1,491"
"Raymond town, Cumberland County, Maine","Town","732","1,328","2,251","3,311","4,299"
"Scarborough town, Cumberland County, Maine","Town","6,418","7,845","11,347","12,518","16,970"
"Sebago town, Cumberland County, Maine","Town","546","708","974","1,259","1,433"
"South Portland city, Cumberland County, Maine","Town","22,788","23,267","22,712","23,163","23,324"
"Standish town, Cumberland County, Maine","Town","2,095","3,122","5,946","7,678","9,285"
"Westbrook city, Cumberland County, Maine","Town","13,820","14,444","14,976","16,121","16,142"
"Windham town, Cumberland County, Maine","Town","4,498","6,593","11,282","13,020","14,904"
"Yarmouth town, Cumberland County, Maine","Town","3,517","4,854","6,585","7,862","8,360"
"Avon town, Franklin County, Maine","Town","436","495","475","559","504"
"Carrabassett Valley town, Franklin County, Maine","Town","0","0","107","325","399"
"Carthage town, Franklin County, Maine","Town","370","354","438","458","520"
"Chesterville town, Franklin County, Maine","Town","505","643","869","1,012","1,170"
"Coplin plantation,Franklin County, Maine","Town","40","50","111","120","135"
"Dallas plantation,Franklin County, Maine","Town","77","105","146","161","250"
"East Central Franklin UT,Franklin County, Maine","Town","0","0","2","459","526"
"Eustis town, Franklin County, Maine","Town","666","595","582","616","685"
"Farmington town, Franklin County, Maine","Town","5,001","5,657","6,730","7,436","7,410"
"Industry town, Franklin County, Maine","Town","262","347","563","685","790"
"Jay town, Franklin County, Maine","Town","3,247","3,954","5,080","5,080","4,985"
"Kingfield town, Franklin County, Maine","Town","864","877","1,083","1,114","1,103"
"Madrid town, Franklin County, Maine","Town","108","107","178","178","173"
"New Sharon town, Franklin County, Maine","Town","712","725","969","1,175","1,297"
